,author,count,heat
33,JessicaTyler,4,1922180.25
48,RachelGillett,3,1427215.667
71,AlanDawson,1,1099570
16,TanzaLoudenback,9,966943.4444
146,ShanaLebowitz,1,961965
38,MeliaRobinson,4,703042.75
103,HollisJohnson,1,680287
26,AndyKiersz,5,621403
37,MaryHanbury,4,259185.5
52,AlisonMillington,2,253870.5
118,LaurenLyonsCole,1,229926
10,ÁineCain,11,211767.9091
122,LyndseyReid,1,183348
79,BryanLogan,1,180389
42,ErinBrodwin,3,168936
23,HayleyPeterson,6,158937.8333
62,MarkAbadi,2,155281
12,BenjaminZhang,10,153051.1
4,MarkMatousek,14,105299.5714
150,StephanieAsymkos,1,94312
76,ArielSchwartz,1,91994
88,DanaVarinsky,1,76917
36,LeannaGarfield,4,69524
121,LibbyKane,1,61817
20,ZoëBernard,7,56166
47,MatthewMichaels,3,55428.33333
137,PrachiBhardwaj,1,52335
54,BusinessInsider,2,46787
1,WillMartin,18,45467.77778
127,MaurieBackman,1,37899
157,TheMotleyFool,1,37899
45,JeremyBerke,3,34070.33333
39,RachaelLevy,4,30186.75
73,AllanSmith,1,29604
74,AnaelePelisson,1,29325
124,MaraLeighton,1,27084
82,CadieThompson,1,25542
128,MeganLeonhardt,1,25416
15,MatthewDeBord,10,23234.1
57,InsiderPicks,2,19660.5
35,KateTaylor,4,17137
2,FrankChaparro,16,16688.1875
66,NathanMcAlone,2,16126
21,BeckyPeterson,6,15013.16667
7,JoeCiolli,12,14410.75
5,OscarWilliams-Grut,14,14363.64286
139,RachelSler,1,14275
61,MONEY,2,14099.5
30,DennisGreen,4,14062.75
11,AlexMorrell,10,13959.4
144,SarahJacobs,1,13739
92,DavidSlotnick,1,12237
114,JoshLederman,1,10986
14,LydiaRamsey,10,9974.4
6,AkinOyedele,13,9949.615385
126,MattWeinberger,1,9889
130,MunsifVengattil,1,9364
116,KevinLoria,1,8532
136,PeterFarquhar,1,7737
9,TroyWolverton,11,7639
64,MichelleMark,2,7222.5
60,LinetteLopez,2,5916
91,DaveMosher,1,5760
51,AlexriaSage,2,5405
55,DavidRosenberg,2,5325
56,GluskinSheff,2,5325
96,ErinHudson,1,5275
109,JessicaResnick-Ault,1,4969
68,TheRealDeal,2,4957.5
44,JeffDesjardins,3,4805.666667
50,VisualCapitalist,3,4805.666667
83,ChristianBautista,1,4640
27,KifLeswing,5,4296
41,AssociatedPress,3,4251.666667
28,PedroNicolacidaCosta,5,4185.6
110,JimEdwards,1,4175
8,BobBryan,11,4155.727273
143,SamanthaLee,1,4099
59,JonathanGarber,2,3957
80,BusinessInsiderNordic,1,3819
67,NickCunningham,2,3809
3,MattTurner,15,3783.066667
129,MikeStone,1,3545
81,BusinessInsiderSingapore,1,3446
108,JessicaLin,1,3446
85,ClaudiaRomeo,1,3314
49,SamJacobs,3,3223
84,ChristopherWoody,1,3144
13,BusinessInsiderAustralia,10,3123
86,CullenRoche,1,3112
138,PragmaticCapitalism,1,3112
43,JasonGuerrasio,3,2951
147,ShayanneGal,1,2931
149,SonamSheth,1,2931
112,JohnMauldin,1,2900
17,OilPrice.com,8,2892.25
115,JuliaGlum,1,2783
93,DigitalTrends,1,2702
151,StephenEdelstein,1,2702
31,IrinaSlav,4,2682.5
32,JacquiFrank,4,2652
34,KaraChin,4,2652
90,DaniellaGreenbaum,1,2487
89,DanielWong,1,2454
72,AllStarCharts,1,2434
104,JCParets,1,2434
69,TsvetanaParaskova,2,2395
53,BetterDwelling,2,2335
22,DavidScutt,6,2304
140,RobPrice,1,2302
101,GraceSchweizer,1,2248
158,ThePennyHoarder,1,2248
152,StephenPunwasi,1,2216
117,LarryBean,1,1974
141,RobbReport,1,1974
58,JohnLynch,2,1929.5
63,MauldinEconomics,2,1904
18,WolfRichter,7,1825.857143
19,WolfStreet,7,1825.857143
65,MotorAuthority,2,1650.5
70,VikneshVijayenthiran,2,1650.5
156,TheFiscalTimes,1,1640
162,YuvalRosenberg,1,1640
97,FirstAmericanFinancialCorporation,1,1478
125,MarkFleming,1,1478
133,OdetaKushi,1,1478
94,DiptenduLahiri,1,1347
107,JesseFelder,1,1310
155,TheFelderReport.com,1,1310
113,JohnO'Donnell,1,1223
160,TomSims,1,1223
105,JaimeToplin,1,1212
99,FrankHolmes,1,1185
161,U.S.GlobalInvestors,1,1185
120,LibbyCantrill,1,993
134,PIMCO,1,993
159,TiffanyWilding,1,993
29,BenMoshinsky,4,960.5
25,MichaelSelby-Green,6,923
106,JaredDillian,1,908
100,GinaHeeb,1,846
102,HeatherSomerville,1,818
131,MunsifVengattilLahareeChatterjee,1,818
78,BillFinkTDBank,1,809
148,SonamRai,1,758
153,SwetaSingh,1,690
87,CumberlAdvisors,1,676
119,LeoChen,1,676
142,RussKoesterich,1,631
154,TheBlackRockBlog,1,631
75,AnkitAjmera,1,618
77,ArunimaBanerjee,1,618
24,LeaNonninger,6,565.1666667
40,RachelGreen,4,537.5
98,FooYnCheePareshDave,1,508
46,LuciaMutikani,3,479
123,ManasMishra,1,406
135,PareshDave,1,338
95,EmmaThomasson,1,324
145,SarahKocianski,1,302
0,Reuters,249,209.9518072
132,NicolePhillips,1,153
111,JoePerticone,1,15
163,AndrewMeola,0,
164,AyoubAouad,0,
165,BIIntelligence,0,
166,DanVanDyke,0,
167,GrahamRapier,0,
168,JacobSonenshine,0,
169,KimberlyChin,0,
170,MariaTerekhova,0,
171,Military&DefenseTeam,0,
172,MyPrivateBanking,0,
